rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split0_train_score
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.00454401969909668,0.0,0.0010628700256347656,0.0,100,0.5,"{'model__alpha': 100, 'model__l1_ratio': 0.5}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004579067230224609,0.0,0.0010137557983398438,0.0,100,0.6000000000000001,"{'model__alpha': 100, 'model__l1_ratio': 0.6000000000000001}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.006140947341918945,0.0,0.0009570121765136719,0.0,100,0.7000000000000001,"{'model__alpha': 100, 'model__l1_ratio': 0.7000000000000001}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004410266876220703,0.0,0.0009400844573974609,0.0,100,0.8,"{'model__alpha': 100, 'model__l1_ratio': 0.8}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.005819082260131836,0.0,0.0013608932495117188,0.0,100,0.9,"{'model__alpha': 100, 'model__l1_ratio': 0.9}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004348039627075195,0.0,0.0009517669677734375,0.0,100,1.0,"{'model__alpha': 100, 'model__l1_ratio': 1.0}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0041599273681640625,0.0,0.000926971435546875,0.0,1000,0.1,"{'model__alpha': 1000, 'model__l1_ratio': 0.1}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.003960847854614258,0.0,0.0009520053863525391,0.0,1000,0.2,"{'model__alpha': 1000, 'model__l1_ratio': 0.2}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.003849029541015625,0.0,0.0009138584136962891,0.0,1000,0.30000000000000004,"{'model__alpha': 1000, 'model__l1_ratio': 0.30000000000000004}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.00587916374206543,0.0,0.0009419918060302734,0.0,1000,0.4,"{'model__alpha': 1000, 'model__l1_ratio': 0.4}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0052490234375,0.0,0.001220703125,0.0,1000,0.5,"{'model__alpha': 1000, 'model__l1_ratio': 0.5}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004300117492675781,0.0,0.0009367465972900391,0.0,1000,0.6000000000000001,"{'model__alpha': 1000, 'model__l1_ratio': 0.6000000000000001}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004332065582275391,0.0,0.0009291172027587891,0.0,1000,0.7000000000000001,"{'model__alpha': 1000, 'model__l1_ratio': 0.7000000000000001}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004526853561401367,0.0,0.0008828639984130859,0.0,1000,0.8,"{'model__alpha': 1000, 'model__l1_ratio': 0.8}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0039899349212646484,0.0,0.0008819103240966797,0.0,1000,0.9,"{'model__alpha': 1000, 'model__l1_ratio': 0.9}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004119157791137695,0.0,0.0008819103240966797,0.0,1000,1.0,"{'model__alpha': 1000, 'model__l1_ratio': 1.0}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.006114959716796875,0.0,0.0016210079193115234,0.0,10000,0.1,"{'model__alpha': 10000, 'model__l1_ratio': 0.1}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004426002502441406,0.0,0.0009469985961914062,0.0,10000,0.2,"{'model__alpha': 10000, 'model__l1_ratio': 0.2}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004358053207397461,0.0,0.0010330677032470703,0.0,10000,0.30000000000000004,"{'model__alpha': 10000, 'model__l1_ratio': 0.30000000000000004}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004370927810668945,0.0,0.0009510517120361328,0.0,10000,0.4,"{'model__alpha': 10000, 'model__l1_ratio': 0.4}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004429817199707031,0.0,0.0009641647338867188,0.0,10000,0.5,"{'model__alpha': 10000, 'model__l1_ratio': 0.5}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004332065582275391,0.0,0.0009529590606689453,0.0,10000,0.6000000000000001,"{'model__alpha': 10000, 'model__l1_ratio': 0.6000000000000001}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0043261051177978516,0.0,0.0009407997131347656,0.0,10000,0.7000000000000001,"{'model__alpha': 10000, 'model__l1_ratio': 0.7000000000000001}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0043468475341796875,0.0,0.000946044921875,0.0,10000,0.8,"{'model__alpha': 10000, 'model__l1_ratio': 0.8}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.005963563919067383,0.0,0.0009531974792480469,0.0,10000,0.9,"{'model__alpha': 10000, 'model__l1_ratio': 0.9}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0043790340423583984,0.0,0.0009698867797851562,0.0,10000,1.0,"{'model__alpha': 10000, 'model__l1_ratio': 1.0}",-1.2871205235891103,-1.0000000000000004
